,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
817,13189114,08 Mayıs 2023,Satılık,132 M2,5-10,7,Kiracı Oturuyor,08 Mayıs 2023,Konut,120 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.135.000TL,Kayseri - Melikgazi - Demokrasi Mahallesi,Krediye Uygun Değil,,
818,13189108,02 Haziran 2023,Satılık,165 M2,0 (Yeni),13,Boş,08 Mayıs 2023,Konut,135 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.800.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,
819,13189054,08 Mayıs 2023,Satılık,186 M2,11-15,13,Kiracı Oturuyor,08 Mayıs 2023,Konut,160 M2,3+1,5.Kat,Kombi Doğalgaz,2.450.000TL,Kayseri - Kocasinan - Uğurevler Mahallesi,,,
820,13189053,08 Mayıs 2023,Satılık,130 M2,21 Ve Üzeri,8,Boş,08 Mayıs 2023,Konut,100 M2,3+1,Düz Giriş,Sobalı,745.000TL,Kayseri - Melikgazi - Kocatepe Mahallesi,,,
821,13187795,07 Mayıs 2023,Satılık,180 M2,0 (Yeni),14,Boş,07 Mayıs 2023,Konut,140 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1.950.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,,
822,13187794,12 Temmuz 2023,Satılık,105 M2,0 (Yeni),12,Boş,07 Mayıs 2023,Konut,85 M2,2+1,1.Kat,Merkezi (Pay Ölçer),1.600.000TL,Kayseri - Kocasinan - Saray Bosna Mahallesi,Krediye Uygun Değil,,
823,13187792,07 Mayıs 2023,Satılık,220 M2,0 (Yeni),14,Boş,07 Mayıs 2023,Konut,165 M2,4.5+1,3.Kat,Merkezi (Pay Ölçer),2.240.000TL,Kayseri - Kocasinan - Saray Bosna Mahallesi,Krediye Uygun Değil,,
824,13183781,08 Temmuz 2023,Satılık,160 M2,0 (Yeni),7,Kiracı Oturuyor,07 Mayıs 2023,Konut,120 M2,3+1,7.Kat,Kombi Doğalgaz,1.695.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,,
825,13182477,08 Haziran 2023,Satılık,240 M2,3,3,Boş,06 Mayıs 2023,Konut,180 M2,4+1,Villa Tipi,Kat Kaloriferi,3.200.000TLarrow_downward%2,Kayseri - Kocasinan - Çevril Mahallesi,Bilinmiyor,,
826,13181864,26 Temmuz 2023,Satılık,175 M2,5-10,8,Mülk Sahibi Oturuyor,06 Mayıs 2023,Konut,135 M2,3+1,7.Kat,Kombi Doğalgaz,1.700.000TL,Kayseri - Melikgazi - Esenyurt Mahallesi,,,
827,13181843,26 Temmuz 2023,Satılık,330 M2,0 (Yeni),3,Boş,06 Mayıs 2023,Konut,265 M2,7+1,Düz Giriş,Yerden Isıtma,10.000.000TL,Kayseri - Melikgazi - Altınoluk Mahallesi,Krediye Uygun Değil,,
